,player,scrape_name,player_image_link
0,Baron Davis,davisba01,https://www.basketball-reference.com/req/202106291/images/headshots/davisba01.jpg
1,Jamal Mashburn,mashbja01,https://www.basketball-reference.com/req/202106291/images/headshots/mashbja01.jpg
2,Elden Campbell,campbel01,https://www.basketball-reference.com/req/202106291/images/headshots/campbel01.jpg
3,David Wesley,wesleda01,https://www.basketball-reference.com/req/202106291/images/headshots/wesleda01.jpg
4,P.J. Brown,brownpj01,https://www.basketball-reference.com/req/202106291/images/headshots/brownpj01.jpg
5,Eldridge Recasner,recasel01,https://www.basketball-reference.com/req/202106291/images/headshots/recasel01.jpg
6,Eddie Robinson,robined01,https://www.basketball-reference.com/req/202106291/images/headshots/robined01.jpg
7,Otis Thorpe,thorpot01,https://www.basketball-reference.com/req/202106291/images/headshots/thorpot01.jpg
8,Jamaal Magloire,magloja01,https://www.basketball-reference.com/req/202106291/images/headshots/magloja01.jpg
9,Jim Jackson,jacksji01,https://www.basketball-reference.com/req/202106291/images/headshots/jacksji01.jpg
10,Hanno Möttölä,möttöha01,https://www.basketball-reference.com/req/202106291/images/headshots/möttöha01.jpg
11,Alan Henderson,hendeal01,https://www.basketball-reference.com/req/202106291/images/headshots/hendeal01.jpg
12,Roshown McLeod,mcleoro01,https://www.basketball-reference.com/req/202106291/images/headshots/mcleoro01.jpg
13,Jason Terry,terryja01,https://www.basketball-reference.com/req/202106291/images/headshots/terryja01.jpg
14,DerMarr Johnson,johnsde01,https://www.basketball-reference.com/req/202106291/images/headshots/johnsde01.jpg
15,Chris Crawford,crawfch01,https://www.basketball-reference.com/req/202106291/images/headshots/crawfch01.jpg
16,Larry Robinson,robinla01,https://www.basketball-reference.com/req/202106291/images/headshots/robinla01.jpg
17,Matt Maloney,malonma01,https://www.basketball-reference.com/req/202106291/images/headshots/malonma01.jpg
18,Anthony Johnson,johnsan01,https://www.basketball-reference.com/req/202106291/images/headshots/johnsan01.jpg
19,Anthony Miller,millean01,https://www.basketball-reference.com/req/202106291/images/headshots/millean01.jpg
20,Peja Stojaković,stojape01,https://www.basketball-reference.com/req/202106291/images/headshots/stojape01.jpg
21,Bobby Jackson,jacksbo01,https://www.basketball-reference.com/req/202106291/images/headshots/jacksbo01.jpg
22,Doug Christie,chrisdo01,https://www.basketball-reference.com/req/202106291/images/headshots/chrisdo01.jpg
23,Chris Webber,webbech01,https://www.basketball-reference.com/req/202106291/images/headshots/webbech01.jpg
24,Vlade Divac,divacvl01,https://www.basketball-reference.com/req/202106291/images/headshots/divacvl01.jpg
25,Scot Pollard,pollasc01,https://www.basketball-reference.com/req/202106291/images/headshots/pollasc01.jpg
26,Nick Anderson,anderni01,https://www.basketball-reference.com/req/202106291/images/headshots/anderni01.jpg
27,Jon Barry,barryjo01,https://www.basketball-reference.com/req/202106291/images/headshots/barryjo01.jpg
28,Darrick Martin,martida01,https://www.basketball-reference.com/req/202106291/images/headshots/martida01.jpg
29,Lawrence Funderburke,fundela01,https://www.basketball-reference.com/req/202106291/images/headshots/fundela01.jpg
30,Elton Brand,brandel01,https://www.basketball-reference.com/req/202106291/images/headshots/brandel01.jpg
31,Khalid El-Amin,el-amkh01,https://www.basketball-reference.com/req/202106291/images/headshots/el-amkh01.jpg
32,Ron Mercer,mercero01,https://www.basketball-reference.com/req/202106291/images/headshots/mercero01.jpg
33,Metta World,worldme01,https://www.basketball-reference.com/req/202106291/images/headshots/worldme01.jpg
34,Brad Miller,millebr01,https://www.basketball-reference.com/req/202106291/images/headshots/millebr01.jpg
35,Marcus Fizer,fizerma01,https://www.basketball-reference.com/req/202106291/images/headshots/fizerma01.jpg
36,Bryce Drew,drewbr01,https://www.basketball-reference.com/req/202106291/images/headshots/drewbr01.jpg
37,Fred Hoiberg,hoibefr01,https://www.basketball-reference.com/req/202106291/images/headshots/hoibefr01.jpg
38,A.J. Guyton,guytoaj01,https://www.basketball-reference.com/req/202106291/images/headshots/guytoaj01.jpg
39,Jamal Crawford,crawfja01,https://www.basketball-reference.com/req/202106291/images/headshots/crawfja01.jpg
40,Ray Allen,allenra01,https://www.basketball-reference.com/req/202106291/images/headshots/allenra01.jpg
41,Glenn Robinson,robingl01,https://www.basketball-reference.com/req/202106291/images/headshots/robingl01.jpg
42,Sam Cassell,cassesa01,https://www.basketball-reference.com/req/202106291/images/headshots/cassesa01.jpg
43,Jason Caffey,caffeja01,https://www.basketball-reference.com/req/202106291/images/headshots/caffeja01.jpg
44,Ervin Johnson,johnser01,https://www.basketball-reference.com/req/202106291/images/headshots/johnser01.jpg
45,Tim Thomas,thomati01,https://www.basketball-reference.com/req/202106291/images/headshots/thomati01.jpg
46,Scott Williams,willisc01,https://www.basketball-reference.com/req/202106291/images/headshots/willisc01.jpg
47,Lindsey Hunter,hunteli01,https://www.basketball-reference.com/req/202106291/images/headshots/hunteli01.jpg
48,Darvin Ham,hamda01,https://www.basketball-reference.com/req/202106291/images/headshots/hamda01.jpg
49,Michael Finley,finlemi01,https://www.basketball-reference.com/req/202106291/images/headshots/finlemi01.jpg
50,Steve Nash,nashst01,https://www.basketball-reference.com/req/202106291/images/headshots/nashst01.jpg
51,Eduardo Nájera,nájered01,https://www.basketball-reference.com/req/202106291/images/headshots/nájered01.jpg
52,Christian Laettner,laettch01,https://www.basketball-reference.com/req/202106291/images/headshots/laettch01.jpg
53,Dirk Nowitzki,nowitdi01,https://www.basketball-reference.com/req/202106291/images/headshots/nowitdi01.jpg
54,Howard Eisley,eisleho01,https://www.basketball-reference.com/req/202106291/images/headshots/eisleho01.jpg
55,Shawn Bradley,bradlsh01,https://www.basketball-reference.com/req/202106291/images/headshots/bradlsh01.jpg
56,Greg Buckner,buckngr01,https://www.basketball-reference.com/req/202106291/images/headshots/buckngr01.jpg
57,Hubert Davis,davishu01,https://www.basketball-reference.com/req/202106291/images/headshots/davishu01.jpg
58,Clifford Robinson,robincl01,https://www.basketball-reference.com/req/202106291/images/headshots/robincl01.jpg
59,Shawn Marion,mariosh01,https://www.basketball-reference.com/req/202106291/images/headshots/mariosh01.jpg
60,Mario Elie,eliema01,https://www.basketball-reference.com/req/202106291/images/headshots/eliema01.jpg
61,Daniel Santiago,santida01,https://www.basketball-reference.com/req/202106291/images/headshots/santida01.jpg
62,Rodney Rogers,rogerro01,https://www.basketball-reference.com/req/202106291/images/headshots/rogerro01.jpg
63,Jason Kidd,kiddja01,https://www.basketball-reference.com/req/202106291/images/headshots/kiddja01.jpg
64,Corie Blount,blounco01,https://www.basketball-reference.com/req/202106291/images/headshots/blounco01.jpg
65,Tony Delk,delkto01,https://www.basketball-reference.com/req/202106291/images/headshots/delkto01.jpg
66,Chris Dudley,dudlech01,https://www.basketball-reference.com/req/202106291/images/headshots/dudlech01.jpg
67,Paul McPherson,mcphepa01,https://www.basketball-reference.com/req/202106291/images/headshots/mcphepa01.jpg
68,Rubén Garcés,garcéru01,https://www.basketball-reference.com/req/202106291/images/headshots/garcéru01.jpg
69,Erick Dampier,dampier01,https://www.basketball-reference.com/req/202106291/images/headshots/dampier01.jpg
70,Larry Hughes,hughela01,https://www.basketball-reference.com/req/202106291/images/headshots/hughela01.jpg
71,Antawn Jamison,jamisan01,https://www.basketball-reference.com/req/202106291/images/headshots/jamisan01.jpg
72,Mookie Blaylock,blaylmo01,https://www.basketball-reference.com/req/202106291/images/headshots/blaylmo01.jpg
73,Chris Mills,millsch01,https://www.basketball-reference.com/req/202106291/images/headshots/millsch01.jpg
74,Danny Fortson,fortsda01,https://www.basketball-reference.com/req/202106291/images/headshots/fortsda01.jpg
75,Vonteego Cummings,cummivo01,https://www.basketball-reference.com/req/202106291/images/headshots/cummivo01.jpg
76,Adonal Foyle,foylead01,https://www.basketball-reference.com/req/202106291/images/headshots/foylead01.jpg
77,Adam Keefe,keefead01,https://www.basketball-reference.com/req/202106291/images/headshots/keefead01.jpg
78,Vinny Del,delvi01,https://www.basketball-reference.com/req/202106291/images/headshots/delvi01.jpg
79,Terrell Brandon,brandte01,https://www.basketball-reference.com/req/202106291/images/headshots/brandte01.jpg
80,Wally Szczerbiak,szczewa01,https://www.basketball-reference.com/req/202106291/images/headshots/szczewa01.jpg
81,Chauncey Billups,billuch01,https://www.basketball-reference.com/req/202106291/images/headshots/billuch01.jpg
82,Kevin Garnett,garneke01,https://www.basketball-reference.com/req/202106291/images/headshots/garneke01.jpg
83,Rasho Nesterović,nestera01,https://www.basketball-reference.com/req/202106291/images/headshots/nestera01.jpg
84,Sam Mitchell,mitchsa01,https://www.basketball-reference.com/req/202106291/images/headshots/mitchsa01.jpg
85,Dean Garrett,garrede01,https://www.basketball-reference.com/req/202106291/images/headshots/garrede01.jpg
86,Anthony Peeler,peelean01,https://www.basketball-reference.com/req/202106291/images/headshots/peelean01.jpg
