,team,logo_link
0,CHH,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHA.png
1,ATL,https://cdn.ssref.net/req/202410231/tlogo/bbr/ATL.png
2,SAC,https://cdn.ssref.net/req/202410231/tlogo/bbr/SAC.png
3,CHI,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHI.png
4,MIL,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIL.png
5,DAL,https://cdn.ssref.net/req/202410231/tlogo/bbr/DAL.png
6,PHO,https://cdn.ssref.net/req/202410231/tlogo/bbr/PHO.png
7,GSW,https://cdn.ssref.net/req/202410231/tlogo/bbr/GSW.png
8,MIN,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIN.png
9,HOU,https://cdn.ssref.net/req/202410231/tlogo/bbr/HOU.png
10,CLE,https://cdn.ssref.net/req/202410231/tlogo/bbr/CLE.png
11,NJN,https://cdn.ssref.net/req/202410231/tlogo/bbr/NJN.png
12,PHI,https://cdn.ssref.net/req/202410231/tlogo/bbr/PHI.png
13,NYK,https://cdn.ssref.net/req/202410231/tlogo/bbr/NYK.png
14,WAS,https://cdn.ssref.net/req/202410231/tlogo/bbr/WAS.png
15,ORL,https://cdn.ssref.net/req/202410231/tlogo/bbr/ORL.png
16,LAL,https://cdn.ssref.net/req/202410231/tlogo/bbr/LAL.png
17,POR,https://cdn.ssref.net/req/202410231/tlogo/bbr/POR.png
18,IND,https://cdn.ssref.net/req/202410231/tlogo/bbr/IND.png
19,SAS,https://cdn.ssref.net/req/202410231/tlogo/bbr/SAS.png
20,DET,https://cdn.ssref.net/req/202410231/tlogo/bbr/DET.png
21,TOR,https://cdn.ssref.net/req/202410231/tlogo/bbr/TOR.png
22,LAC,https://cdn.ssref.net/req/202410231/tlogo/bbr/LAC.png
23,UTA,https://cdn.ssref.net/req/202410231/tlogo/bbr/UTA.png
24,SEA,https://cdn.ssref.net/req/202410231/tlogo/bbr/SEA-1983.png
25,VAN,https://cdn.ssref.net/req/202410231/tlogo/bbr/MEM.png
26,BOS,https://cdn.ssref.net/req/202410231/tlogo/bbr/BOS.png
27,MIA,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIA.png
28,DEN,https://cdn.ssref.net/req/202410231/tlogo/bbr/DEN.png
29,MEM,https://cdn.ssref.net/req/202410231/tlogo/bbr/MEM.png
30,NOH,https://cdn.ssref.net/req/202410231/tlogo/bbr/NOH.png
31,CHA,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHA.png
32,NOK,https://cdn.ssref.net/req/202410231/tlogo/bbr/NOK.png
33,OKC,https://cdn.ssref.net/req/202410231/tlogo/bbr/OKC.png
34,BRK,https://cdn.ssref.net/req/202410231/tlogo/bbr/BRK.png
35,NOP,https://cdn.ssref.net/req/202410231/tlogo/bbr/NOP.png
36,CHO,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHA.png
